,ActualContent,codes
1,*MALAYSIA'S KLCI OPENS 0.4% LOWER AT 1609.37,"['NR/STK','SEA','MY','NIKKEI']"
2,*MALAYSIA'S KLCI OPENS 0.4% LOWER AT 1609.37,"['NR/STK','SEA','MY','NIKKEI','NR/ASIA']"
3,"*MALAYSIA'S HONG LEONG BANK OPENS 1.3% LOWER AT MYR17.38, TOP PERCENTAGE LOSER ON KLCI","['NR/STK','SEA','BANK','MY','NIKKEI','5819.KL']"
4,"*MALAYSIA'S HONG LEONG BANK OPENS 1.3% LOWER AT MYR17.38, TOP PERCENTAGE LOSER ON KLCI","['NR/STK','SEA','BANK','MY','NIKKEI','5819.KL','NR/ASIA']"
5,"*MALAYSIA’S CYPARK RESOURCES SURGES 8% AT MYR1.49, STRONGER 4Q HELPS","['NR/STK','SEA','ENVS','MY','NIKKEI','ISLF','5184.KL']"
6,"*MALAYSIA’S CYPARK RESOURCES SURGES 8% AT MYR1.49, STRONGER 4Q HELPS","['NR/STK','SEA','ENVS','MY','NIKKEI','ISLF','5184.KL','NR/ASIA']"
7,"*MALAYSIA’S ADVENTA JUMPS 10.7% AT MYR0.62, SPECIAL DIVIDEND BOOST","['NR/STK','SEA','ISLF','MY','NIKKEI','MEDQ','7191.KL','BONS','DIV']"
8,"*MALAYSIA’S ADVENTA JUMPS 10.7% AT MYR0.62, SPECIAL DIVIDEND BOOSTS","['NR/STK','SEA','ISLF','MY','NIKKEI','MEDQ','7191.KL','BONS','DIV','NR/ASIA']"
9,"*MALAYSIA’S SC ESTATE BUILDER UP 16.7% AT MYR0.035, NEW CONTRACT WIN HELPS","['0109.KL','NR/STK','SEA','MY','NIKKEI','ISLF','CONS']"
10,"*MALAYSIA’S SC ESTATE BUILDER UP 16.7% AT MYR0.035, NEW CONTRACT WIN HELPS","['0109.KL','NR/STK','SEA','MY','NIKKEI','ISLF','CONS','NR/ASIA']"
11,"*MALAYSIA’S SMTRACK UP 10% AT MYR0.11, STRONGER 1Q HELPS","['0169.KL','NR/STK','SEA','MY','NIKKEI','ISLF','ITSE']"
12,"*MALAYSIA’S SMTRACK UP 10% AT MYR0.11, STRONGER 1Q HELPS","['0169.KL','NR/STK','SEA','MY','NIKKEI','ISLF','ITSE','NR/ASIA']"
13,*NEWBORN TOWN SHARES OPEN FOR TRADING IN HONG KONG AT HK$3.02 VS IPO AT HK$1.68,"['9911.HK','IPO','NIKKEI','CN','HK']"
14,"*TAIZHOU WATER SHARES BEGIN HONG KONG TRADING AT HK$4.22, SAME AS IPO PRICE","['NIKKEI','CN','HK','IPO','1542.HK']"
15,*NEWBORN TOWN SHARES OPEN FOR TRADING IN HONG KONG AT HK$3.02 VS IPO AT HK$1.68,"['9911.HK','IPO','NIKKEI','CN','HK','NR/ASIA']"
16,"*TAIZHOU WATER SHARES BEGIN HONG KONG TRADING AT HK$4.22, SAME AS IPO PRICE","['NIKKEI','CN','HK','IPO','1542.HK','NR/ASIA']"
17,"*TENCENT FALLS 1.2%, WHARF REIC DROPS 1.2%, CHINA MOBILE ADDS 0.5% IN EARLY HONG KONG TRADING","['941.HK','700.HK','NIKKEI','CN','HK','1997.HK']"
18,*BOC AVIATION SLIPS 0.6%; UNIT AGREES TO BUY 18 AIRBUS A320NEO FAMILY AIRCRAFT,"['2588.HK','NIKKEI','CN','HK']"
19,"*TENCENT FALLS 1.2%, WHARF REIC DROPS 1.2%, CHINA MOBILE ADDS 0.5% IN EARLY HONG KONG TRADING","['941.HK','700.HK','NIKKEI','CN','HK','1997.HK','NR/ASIA']"
20,*BOC AVIATION SLIPS 0.6%; UNIT AGREES TO BUY 18 AIRBUS A320NEO FAMILY AIRCRAFT,"['2588.HK','NIKKEI','CN','HK','NR/ASIA']"
21,*HI SUN TECHOLOGY JUMPS 7.4% AFTER ISSUING A POSITIVE PROFIT ALERT,"['818.HK','NIKKEI','CN','HK']"
